1,1,9.99000999000999E-4,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
345,1,0.34465534465534464,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
345,2,0.34465534465534464,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
346,1,0.34565434565434566,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
346,2,0.34565434565434566,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
347,1,0.34665334665334663,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
347,2,0.34665334665334663,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
348,1,0.34765234765234765,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
348,2,0.34765234765234765,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
349,1,0.34865134865134867,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
349,2,0.34865134865134867,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
350,1,0.34965034965034963,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Ballroom, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
350,2,0.34965034965034963,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
351,1,0.35064935064935066,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
351,2,0.35064935064935066,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
352,1,0.3516483516483517,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
352,2,0.3516483516483517,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
353,1,0.35264735264735264,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
353,2,0.35264735264735264,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
354,1,0.35364635364635366,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
354,2,0.35364635364635366,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
355,1,0.3546453546453546,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
355,2,0.3546453546453546,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
356,1,0.35564435564435565,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
356,2,0.35564435564435565,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
357,1,0.35664335664335667,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
357,2,0.35664335664335667,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
358,1,0.35764235764235763,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
358,2,0.35764235764235763,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
359,1,0.35864135864135865,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
359,2,0.35864135864135865,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
360,1,0.3596403596403596,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
360,2,0.3596403596403596,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
361,1,0.36063936063936064,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
361,2,0.36063936063936064,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
362,1,0.36163836163836166,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
362,2,0.36163836163836166,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
363,1,0.3626373626373626,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
363,2,0.3626373626373626,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
364,1,0.36363636363636365,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
364,2,0.36363636363636365,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
365,1,0.3646353646353646,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
365,2,0.3646353646353646,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
366,1,0.36563436563436563,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
366,2,0.36563436563436563,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
367,1,0.36663336663336665,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
367,2,0.36663336663336665,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
368,1,0.3676323676323676,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
368,2,0.3676323676323676,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
369,1,0.36863136863136864,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Water and Soap])
369,2,0.36863136863136864,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
370,1,0.3696303696303696,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
370,2,0.3696303696303696,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
371,1,0.3706293706293706,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
371,2,0.3706293706293706,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
372,1,0.37162837162837165,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
372,2,0.37162837162837165,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
373,1,0.3726273726273726,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
373,2,0.3726273726273726,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
374,1,0.37362637362637363,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
374,2,0.37362637362637363,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
375,1,0.37462537462537465,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
375,2,0.37462537462537465,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
376,1,0.3756243756243756,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
376,2,0.3756243756243756,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
377,1,0.37662337662337664,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
377,2,0.37662337662337664,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
378,1,0.3776223776223776,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
378,2,0.3776223776223776,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
379,1,0.3786213786213786,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Water and Soap])
379,2,0.3786213786213786,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
380,1,0.37962037962037964,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
380,2,0.37962037962037964,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
381,1,0.3806193806193806,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
381,2,0.3806193806193806,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
382,1,0.38161838161838163,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
382,2,0.38161838161838163,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
383,1,0.3826173826173826,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
383,2,0.3826173826173826,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
384,1,0.3836163836163836,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
384,2,0.3836163836163836,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Strategy1_t@1,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
385,1,0.38461538461538464,AgentKF@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
